elapsed_host_seconds,touch_state,serial_message
0.418,0,No touch detected...
0.624,0,No touch detected...
0.624,0,No touch detected...
0.624,0,No touch detected...
0.624,0,No touch detected...
0.834,0,No touch detected...
0.834,0,No touch detected...
0.834,0,No touch detected...
0.834,0,No touch detected...
1.037,0,No touch detected...
1.037,0,No touch detected...
1.037,0,No touch detected...
1.038,0,No touch detected...
1.248,0,No touch detected...
1.248,0,No touch detected...
1.248,0,No touch detected...
1.248,0,No touch detected...
1.452,0,No touch detected...
1.452,0,No touch detected...
1.452,0,No touch detected...
1.452,0,No touch detected...
1.452,0,No touch detected...
1.652,0,No touch detected...
1.652,0,No touch detected...
1.652,0,No touch detected...
1.652,0,No touch detected...
1.852,0,No touch detected...
1.852,0,No touch detected...
1.852,0,No touch detected...
1.852,0,No touch detected...
2.052,0,No touch detected...
2.052,0,No touch detected...
2.052,0,No touch detected...
2.052,0,No touch detected...
2.253,0,No touch detected...
2.253,0,No touch detected...
2.253,0,No touch detected...
2.253,0,No touch detected...
2.453,0,No touch detected...
2.453,0,No touch detected...
2.453,0,No touch detected...
2.453,0,No touch detected...
2.653,0,No touch detected...
2.653,0,No touch detected...
2.654,0,No touch detected...
2.654,0,No touch detected...
2.855,0,No touch detected...
2.855,0,No touch detected...
2.855,0,No touch detected...
2.855,0,No touch detected...
3.055,0,No touch detected...
3.055,0,No touch detected...
3.055,0,No touch detected...
3.055,0,No touch detected...
3.257,0,No touch detected...
3.257,0,No touch detected...
3.257,0,No touch detected...
3.257,0,No touch detected...
3.459,0,No touch detected...
3.459,0,No touch detected...
3.459,0,No touch detected...
3.459,0,No touch detected...
3.662,0,No touch detected...
3.662,0,No touch detected...
3.663,0,No touch detected...
3.663,0,No touch detected...
3.868,0,No touch detected...
3.868,0,No touch detected...
3.868,0,No touch detected...
3.868,0,No touch detected...
4.077,0,No touch detected...
4.077,0,No touch detected...
4.077,0,No touch detected...
4.077,0,No touch detected...
4.285,0,No touch detected...
4.285,0,No touch detected...
4.285,0,No touch detected...
4.285,0,No touch detected...
4.489,0,No touch detected...
4.489,0,No touch detected...
4.489,0,No touch detected...
4.489,0,No touch detected...
4.700,0,No touch detected...
4.700,0,No touch detected...
4.700,0,No touch detected...
4.700,0,No touch detected...
4.902,0,No touch detected...
4.902,0,No touch detected...
4.902,0,No touch detected...
4.902,0,No touch detected...
4.902,0,No touch detected...
5.102,0,No touch detected...
5.102,0,No touch detected...
5.102,0,No touch detected...
5.102,0,No touch detected...
5.303,0,No touch detected...
5.303,0,No touch detected...
5.303,0,No touch detected...
5.303,0,No touch detected...
5.504,0,No touch detected...
5.504,0,No touch detected...
5.504,0,No touch detected...
5.504,0,No touch detected...
5.705,0,No touch detected...
5.705,0,No touch detected...
5.705,0,No touch detected...
5.705,0,No touch detected...
5.907,0,No touch detected...
5.907,0,No touch detected...
5.908,0,No touch detected...
5.908,0,No touch detected...
6.111,0,No touch detected...
6.111,0,No touch detected...
6.111,0,No touch detected...
6.111,0,No touch detected...
6.315,0,No touch detected...
6.315,0,No touch detected...
6.315,0,No touch detected...
6.315,0,No touch detected...
6.522,0,No touch detected...
6.522,0,No touch detected...
6.522,0,No touch detected...
6.522,0,No touch detected...
6.725,0,No touch detected...
6.725,0,No touch detected...
6.725,0,No touch detected...
6.725,0,No touch detected...
6.928,0,No touch detected...
6.928,0,No touch detected...
6.928,0,No touch detected...
6.928,0,No touch detected...
7.137,0,No touch detected...
7.137,0,No touch detected...
7.137,0,No touch detected...
7.138,0,No touch detected...
7.344,0,No touch detected...
7.344,0,No touch detected...
7.344,0,No touch detected...
7.344,0,No touch detected...
7.552,0,No touch detected...
7.552,0,No touch detected...
7.552,0,No touch detected...
7.552,0,No touch detected...
7.552,0,No touch detected...
7.752,0,No touch detected...
7.752,0,No touch detected...
7.752,0,No touch detected...
