elapsed_host_seconds,adc,estimated_voltage
0.208,1601,1.290
0.413,1603,1.292
0.616,1602,1.291
0.821,1601,1.290
1.026,1600,1.289
1.231,1600,1.289
1.433,1601,1.290
1.634,1605,1.293
1.839,1600,1.289
2.045,1601,1.290
2.250,1601,1.290
2.450,1601,1.290
2.655,1601,1.290
2.857,1603,1.292
3.058,1605,1.293
3.263,1603,1.292
3.468,1598,1.288
3.673,1606,1.294
3.877,1601,1.290
4.079,1604,1.293
4.284,1601,1.290
4.489,1603,1.292
4.694,1602,1.291
4.900,1602,1.291
5.105,1600,1.289
5.310,1604,1.293
5.515,1601,1.290
5.720,1600,1.289
5.924,1601,1.290
6.129,1600,1.289
6.129,1600,1.289
6.329,1601,1.290
6.529,1601,1.290
6.729,1604,1.293
6.929,1600,1.289
7.130,1605,1.293
7.330,1600,1.289
7.531,1600,1.289
7.731,1606,1.294
7.932,1602,1.291
8.133,1603,1.292
8.334,1600,1.289
8.536,1600,1.289
8.737,1604,1.293
8.940,1605,1.293
9.141,1603,1.292
9.344,1603,1.292
9.548,1603,1.292
9.752,1603,1.292
9.957,1606,1.294
10.162,1604,1.293
10.362,1601,1.290
10.567,1600,1.289
10.772,1600,1.289
10.974,1603,1.292
11.174,1601,1.290
11.379,1607,1.295
11.585,1602,1.291
11.788,1601,1.290
11.992,1605,1.293
12.198,1603,1.292
12.402,1603,1.292
12.607,1603,1.292
12.812,1605,1.293
13.017,1607,1.295
13.222,1602,1.291
13.427,1601,1.290
13.631,1601,1.290
13.836,1605,1.293
14.041,1603,1.292
14.246,1602,1.291
14.451,1603,1.292
14.656,1603,1.292
14.857,1601,1.290
15.062,1601,1.290
15.267,1600,1.289
15.469,1600,1.289
15.674,1600,1.289
15.877,1601,1.290
16.082,1605,1.293
16.287,1607,1.295
16.489,1603,1.292
16.691,1606,1.294
16.895,1600,1.289
17.100,1603,1.292
17.304,1603,1.292
17.510,1602,1.291
17.715,1606,1.294
17.920,1606,1.294
18.125,1605,1.293
18.328,1602,1.291
18.529,1605,1.293
18.529,1600,1.289
18.729,1602,1.291
18.929,1607,1.295
19.130,1604,1.293
19.330,1605,1.293
19.530,1599,1.289
19.731,1603,1.292
19.931,1602,1.291
20.132,1603,1.292
20.333,1602,1.291
20.534,1605,1.293
20.736,1601,1.290
20.938,1602,1.291
21.140,1605,1.293
21.343,1603,1.292
21.546,1603,1.292
21.748,1602,1.291
21.953,1600,1.289
22.158,1603,1.292
22.363,1605,1.293
22.568,1604,1.293
22.773,1603,1.292
22.978,1604,1.293
23.183,1601,1.290
23.387,1600,1.289
23.591,1603,1.292
23.791,1600,1.289
23.992,1604,1.293
24.193,1609,1.297
24.398,1603,1.292
24.600,1603,1.292
24.806,1601,1.290
25.011,1600,1.289
25.216,1601,1.290
25.421,1600,1.289
25.625,1601,1.290
25.829,1604,1.293
26.034,1601,1.290
26.239,1602,1.291
26.444,1602,1.291
26.649,1602,1.291
26.855,1604,1.293
27.055,1604,1.293
27.260,1602,1.291
27.465,1600,1.289
27.670,1601,1.290
27.875,1600,1.289
28.079,1601,1.290
28.283,1603,1.292
28.489,1600,1.289
28.691,1599,1.289
28.897,1605,1.293
29.101,1605,1.293
29.307,1611,1.298
29.507,1602,1.291
29.707,1601,1.290
29.913,1602,1.291
30.118,1604,1.293
30.323,1600,1.289
30.528,1600,1.289
30.729,1601,1.290
30.729,1599,1.289
30.929,1601,1.290
31.129,1601,1.290
31.329,1606,1.294
31.529,1601,1.290
31.729,1601,1.290
31.930,1602,1.291
32.130,1599,1.289
32.331,1600,1.289
32.531,1605,1.293
32.732,1606,1.294
32.933,1609,1.297
33.134,1600,1.289
33.335,1601,1.290
33.537,1601,1.290
33.739,1600,1.289
33.941,1605,1.293
34.144,1602,1.291
34.347,1609,1.297
34.552,1603,1.292
34.754,1606,1.294
34.959,1601,1.290
35.163,1603,1.292
35.368,1601,1.290
35.573,1601,1.290
35.775,1601,1.290
35.976,1606,1.294
36.180,1606,1.294
36.385,1600,1.289
36.589,1602,1.291
36.791,1604,1.293
36.996,1604,1.293
37.201,1605,1.293
37.403,1605,1.293
37.608,1607,1.295
37.809,1603,1.292
38.013,1601,1.290
38.218,1603,1.292
38.422,1603,1.292
38.627,1605,1.293
38.828,1603,1.292
39.033,1605,1.293
39.237,1603,1.292
39.442,1603,1.292
39.648,1602,1.291
39.853,1605,1.293
40.058,1604,1.293
40.263,1603,1.292
40.468,1603,1.292
40.673,1602,1.291
40.875,1606,1.294
41.080,1604,1.293
41.285,1603,1.292
41.490,1601,1.290
41.695,1604,1.293
41.900,1603,1.292
42.102,1600,1.289
42.307,1603,1.292
42.512,1602,1.291
42.717,1600,1.289
42.922,1603,1.292
43.124,1602,1.291
43.325,1605,1.293
43.529,1603,1.292
43.529,1603,1.292
43.729,1603,1.292
43.929,1602,1.291
44.129,1600,1.289
44.330,1601,1.290
44.530,1600,1.289
44.731,1601,1.290
44.931,1601,1.290
45.132,1603,1.292
45.333,1605,1.293
45.534,1601,1.290
45.735,1601,1.290
45.937,1603,1.292
46.138,1604,1.293
46.340,1605,1.293
46.543,1605,1.293
46.747,1605,1.293
46.952,1600,1.289
47.157,1601,1.290
47.362,1604,1.293
47.567,1602,1.291
47.772,1605,1.293
47.977,1603,1.292
48.182,1602,1.291
48.388,1603,1.292
48.593,1605,1.293
48.798,1603,1.292
49.003,1598,1.288
49.208,1606,1.294
49.413,1600,1.289
49.618,1603,1.292
49.819,1609,1.297
50.024,1603,1.292
50.229,1600,1.289
50.434,1600,1.289
50.639,1602,1.291
50.844,1602,1.291
51.050,1606,1.294
51.255,1603,1.292
51.460,1601,1.290
51.665,1602,1.291
51.867,1603,1.292
52.073,1603,1.292
52.277,1605,1.293
52.482,1600,1.289
52.687,1600,1.289
52.889,1602,1.291
53.094,1605,1.293
53.299,1604,1.293
53.501,1600,1.289
53.706,1600,1.289
53.907,1605,1.293
54.112,1603,1.292
54.318,1600,1.289
54.523,1601,1.290
54.726,1601,1.290
54.929,1605,1.293
54.929,1602,1.291
55.129,1603,1.292
55.329,1603,1.292
55.529,1602,1.291
55.730,1600,1.289
55.930,1602,1.291
56.131,1601,1.290
56.331,1601,1.290
56.532,1602,1.291
56.733,1600,1.289
56.934,1610,1.297
57.136,1601,1.290
57.337,1603,1.292
57.539,1602,1.291
57.742,1601,1.290
57.945,1607,1.295
58.149,1601,1.290
58.354,1605,1.293
58.559,1606,1.294
58.764,1601,1.290
58.969,1609,1.297
59.174,1603,1.292
59.375,1606,1.294
59.580,1603,1.292
59.785,1600,1.289
59.989,1601,1.290
60.191,1601,1.290
60.396,1600,1.289
60.601,1605,1.293
60.806,1600,1.289
61.011,1603,1.292
61.216,1604,1.293
61.421,1606,1.294
61.625,1602,1.291
61.827,1605,1.293
62.032,1605,1.293
62.235,1603,1.292
62.440,1613,1.300
62.642,1605,1.293
62.846,1602,1.291
63.051,1605,1.293
63.257,1600,1.289
63.461,1606,1.294
63.666,1607,1.295
63.871,1605,1.293
64.074,1606,1.294
64.279,1601,1.290
64.482,1603,1.292
64.685,1600,1.289
64.890,1601,1.290
65.091,1601,1.290
65.294,1603,1.292
65.495,1602,1.291
65.700,1602,1.291
65.905,1601,1.290
66.111,1602,1.291
66.316,1602,1.291
66.521,1600,1.289
66.726,1600,1.289
66.929,1605,1.293
66.929,1601,1.290
67.129,1603,1.292
67.329,1602,1.291
67.529,1605,1.293
67.729,1603,1.292
67.929,1603,1.292
68.130,1600,1.289
68.330,1603,1.292
68.530,1603,1.292
68.731,1601,1.290
68.932,1604,1.293
69.133,1600,1.289
69.334,1600,1.289
69.535,1605,1.293
69.737,1606,1.294
69.939,1607,1.295
70.142,1601,1.290
70.345,1601,1.290
70.549,1604,1.293
70.754,1605,1.293
70.959,1605,1.293
71.165,1602,1.291
71.367,1604,1.293
71.572,1602,1.291
71.776,1603,1.292
71.981,1601,1.290
72.187,1602,1.291
72.392,1603,1.292
72.594,1605,1.293
72.799,1604,1.293
73.004,1600,1.289
73.209,1601,1.290
73.409,1602,1.291
73.614,1600,1.289
73.819,1603,1.292
74.025,1600,1.289
74.230,1606,1.294
74.435,1611,1.298
74.640,1605,1.293
74.845,1606,1.294
75.050,1602,1.291
75.255,1601,1.290
75.460,1605,1.293
75.665,1601,1.290
75.868,1603,1.292
76.074,1607,1.295
76.278,1601,1.290
76.482,1609,1.297
76.688,1601,1.290
76.890,1605,1.293
77.094,1603,1.292
77.297,1602,1.291
77.502,1597,1.287
77.704,1600,1.289
77.905,1601,1.290
78.110,1605,1.293
78.312,1601,1.290
78.515,1603,1.292
78.720,1604,1.293
78.921,1597,1.287
79.123,1605,1.293
79.328,1602,1.291
79.529,1600,1.289
79.529,1606,1.294
79.729,1606,1.294
79.930,1601,1.290
80.130,1602,1.291
80.331,1600,1.289
80.531,1602,1.291
80.732,1601,1.290
80.933,1606,1.294
81.134,1600,1.289
81.335,1602,1.291
81.536,1605,1.293
81.738,1603,1.292
81.941,1603,1.292
82.144,1604,1.293
82.348,1600,1.289
82.550,1602,1.291
82.755,1602,1.291
82.960,1601,1.290
83.161,1604,1.293
83.363,1603,1.292
83.564,1602,1.291
83.768,1604,1.293
83.973,1601,1.290
84.177,1601,1.290
84.383,1601,1.290
84.588,1603,1.292
84.793,1603,1.292
84.998,1603,1.292
85.203,1601,1.290
85.408,1606,1.294
85.611,1601,1.290
85.816,1591,1.282
86.022,1603,1.292
86.227,1600,1.289
86.428,1601,1.290
86.628,1603,1.292
86.829,1604,1.293
87.034,1603,1.292
87.236,1601,1.290
87.441,1603,1.292
87.647,1603,1.292
87.852,1600,1.289
88.057,1600,1.289
88.257,1605,1.293
88.458,1602,1.291
88.662,1601,1.290
88.867,1601,1.290
89.068,1603,1.292
89.273,1604,1.293
89.474,1601,1.290
89.679,1602,1.291
89.884,1603,1.292
90.089,1601,1.290
90.295,1601,1.290
90.500,1602,1.291
90.702,1606,1.294
90.907,1602,1.291
91.112,1605,1.293
91.317,1604,1.293
91.523,2010,1.620
91.724,2365,1.906
91.929,2411,1.943
91.929,2640,2.127
92.129,3043,2.452
92.329,3511,2.829
92.529,3525,2.841
92.729,4055,3.268
92.929,4095,3.300
93.129,4095,3.300
93.330,4095,3.300
93.530,4095,3.300
93.731,4095,3.300
93.931,4095,3.300
94.132,4095,3.300
94.333,4095,3.300
94.534,4095,3.300
94.736,4095,3.300
94.938,4095,3.300
95.140,4095,3.300
95.343,4095,3.300
95.547,4095,3.300
95.751,4095,3.300
95.954,4095,3.300
96.159,4095,3.300
96.361,4095,3.300
96.566,4095,3.300
96.771,4095,3.300
96.976,3854,3.106
97.177,3131,2.523
97.382,3126,2.519
97.587,2687,2.165
97.791,1915,1.543
97.997,1846,1.488
98.202,1827,1.472
98.407,1231,0.992
98.608,450,0.363
98.809,404,0.326
99.013,135,0.109
99.218,0,0.000
99.423,0,0.000
99.623,0,0.000
99.828,0,0.000
100.033,0,0.000
100.238,0,0.000
100.443,0,0.000
100.648,0,0.000
100.853,0,0.000
101.058,0,0.000
101.263,0,0.000
101.468,0,0.000
101.674,0,0.000
101.879,0,0.000
102.081,0,0.000
102.286,0,0.000
102.489,0,0.000
102.693,0,0.000
102.898,0,0.000
103.103,107,0.086
103.308,163,0.131
103.513,266,0.214
103.714,612,0.493
103.919,784,0.632
104.124,789,0.636
104.326,1104,0.890
104.529,1295,1.044
104.529,1422,1.146
104.729,1532,1.235
104.929,1718,1.384
105.129,1815,1.463
105.329,1827,1.472
105.529,1823,1.469
105.729,1829,1.474
105.930,1819,1.466
106.130,1818,1.465
106.331,1814,1.462
106.531,1820,1.467
106.732,1824,1.470
106.933,1825,1.471
107.134,1823,1.469
107.335,1821,1.467
107.536,1823,1.469
107.738,1824,1.470
107.941,1824,1.470
108.141,1821,1.467
108.344,1824,1.470
108.548,1823,1.469
108.753,1819,1.466
108.955,1820,1.467
109.159,1825,1.471
109.361,1815,1.463
109.566,1819,1.466
109.771,1821,1.467
109.976,1823,1.469
110.181,1819,1.466
110.386,1818,1.465
110.592,1820,1.467
110.797,1823,1.469
111.000,1821,1.467
111.202,1823,1.469
111.407,1824,1.470
111.613,1823,1.469
111.818,1824,1.470
112.023,1824,1.470
112.227,1819,1.466
112.428,1821,1.467
112.633,1823,1.469
112.838,1821,1.467
113.042,1823,1.469
113.247,1823,1.469
113.453,1825,1.471
113.655,1826,1.472
113.857,1827,1.472
114.060,1821,1.467
114.265,1823,1.469
114.465,1821,1.467
114.670,1823,1.469
114.874,1823,1.469
115.077,1823,1.469
115.282,1823,1.469
115.486,1826,1.472
115.691,1825,1.471
115.896,1820,1.467
116.101,1826,1.472
116.306,1821,1.467
116.511,1823,1.469
116.716,1818,1.465
116.921,1824,1.470
117.125,1823,1.469
117.329,1824,1.470
117.329,1823,1.469
117.529,1820,1.467
117.729,1822,1.468
117.929,1820,1.467
118.129,1824,1.470
118.330,1819,1.466
118.530,1818,1.465
118.731,1821,1.467
118.932,1822,1.468
119.132,1819,1.466
119.333,1822,1.468
119.535,1823,1.469
119.735,1819,1.466
119.937,1823,1.469
120.138,1815,1.463
120.340,1823,1.469
120.541,1826,1.472
120.744,1824,1.470
120.948,1824,1.470
121.153,1821,1.467
121.356,1821,1.467
121.559,1822,1.468
121.764,1823,1.469
121.969,1819,1.466
122.174,1822,1.468
122.376,1823,1.469
122.579,1821,1.467
122.784,1824,1.470
122.987,1819,1.466
123.189,1823,1.469
123.394,1819,1.466
123.599,1824,1.470
123.801,1825,1.471
124.006,1819,1.466
124.212,1823,1.469
124.417,1821,1.467
124.622,1823,1.469
124.824,1824,1.470
125.029,1821,1.467
125.234,1821,1.467
125.436,1819,1.466
125.641,1819,1.466
125.841,1819,1.466
126.046,1821,1.467
126.251,1822,1.468
126.456,1822,1.468
126.661,1823,1.469
126.866,1827,1.472
127.066,1822,1.468
127.272,1823,1.469
127.475,1821,1.467
127.680,1822,1.468
127.885,1822,1.468
128.089,1822,1.468
128.294,1819,1.466
128.499,1819,1.466
128.704,1819,1.466
128.909,1823,1.469
129.112,1820,1.467
129.317,1823,1.469
129.523,1823,1.469
129.724,1825,1.471
129.927,1818,1.465
130.128,1823,1.469
130.129,1825,1.471
130.329,1823,1.469
130.529,1819,1.466
130.729,1820,1.467
130.929,1822,1.468
131.129,1822,1.468
131.329,1821,1.467
131.530,1819,1.466
131.730,1823,1.469
131.931,1823,1.469
132.131,1820,1.467
132.332,1818,1.465
132.533,1822,1.468
132.734,1823,1.469
132.936,1821,1.467
133.138,1818,1.465
133.340,1822,1.468
133.543,1821,1.467
133.747,1823,1.469
133.948,1824,1.470
134.152,1819,1.466
134.357,1815,1.463
134.557,1823,1.469
134.757,1821,1.467
134.963,1824,1.470
135.168,1823,1.469
135.373,1821,1.467
135.578,1820,1.467
135.783,1821,1.467
135.988,1824,1.470
136.193,1819,1.466
136.398,1822,1.468
136.604,1825,1.471
136.809,1823,1.469
137.014,1826,1.472
137.218,1819,1.466
137.423,1818,1.465
137.627,1819,1.466
137.832,1824,1.470
138.037,1819,1.466
138.242,1826,1.472
138.445,1823,1.469
138.648,1814,1.462
138.853,1815,1.463
139.059,1825,1.471
139.264,1824,1.470
139.469,1821,1.467
139.674,1823,1.469
139.879,1825,1.471
140.084,1818,1.465
140.290,1823,1.469
140.490,1818,1.465
140.694,1826,1.472
140.896,1827,1.472
141.102,1822,1.468
141.307,1825,1.471
141.507,1823,1.469
141.708,1818,1.465
141.913,1818,1.465
142.116,1822,1.468
142.321,1821,1.467
142.524,1817,1.464
